impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K24-173636,A719427,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719427,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Swan,Cat,NO AGE,Female,Domestic Shorthair,Black,3-Nov-24,Received on,32700 block of  RAILROAD AVE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,47.308578,-122.00652,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719427,Image Copyright HLP Inc. 2024,"Received on: 2024-11-03<p/> Found Near: 32700 block of  RAILROAD AVE<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173571,A719334,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719334,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Prongs,Cat,9 WEEKS,Neutered Male,Domestic Shorthair,Black,1-Nov-24,Received on,27111 167TH PL SE,COVINGTON,WA,98042,COVINGTON,47.358606,-122.118905,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719334,Image Copyright HLP Inc. 2024,"Received on: 2024-11-01<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>Hi! My name is Prongs and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on November 1, 2024. I was surrendered by my previous owner because they had too many cats.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home once I get to know you.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am currently at an offsite location looking for my forever family! <p/><p/>Adoptions at partner stores are coordinated on a ""first-come, first-served"" basis. It is recommended that you call the offsite location before going to the store in case the animal is in the process of being adopted or already adopted. Delays on the profile being removed from the website after adoption is to be expected. <p/><p/>",
K24-173674,A719496,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719496,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Female,Domestic Shorthair,Black / White,4-Nov-24,Received on,17600 block of  SE MAY VALLEY RD,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719496,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Found Near: 17600 block of  SE MAY VALLEY RD<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173560,A719308,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866579,LOST,Maui,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,31-Oct-24,Date Lost,NE  53rd St & Latona Ave NE,Seattle,,98105,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866579,Image Copyright HLP Inc. 2024,"Description: Orange tabby cat. He has a clipped ear and a bob tail. He is about 9-10 pounds. Green eyes. Can be skittish if approached. <p/>Age: Over 1 year<p/>Location Lost: 53rd and Latona, Seattle WA  98105<p/>Lost Date: 2024-10-31<p/>",
K24-172879,A718035,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858531,LOST,Frida,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,11-Oct-24,Date Lost,300 block of  ERIE AVE,Seattle,,98122,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858531,Image Copyright HLP Inc. 2024,"Description: Frida is a light gray dark gray tabby cat with a brown nose and butt. Her markings are mostly symmetrical and she has cinnamon type swirls on both sides. She  has white paws and chest. Super friendly, sort of short front legs and a red bow tie collar with a bell. <p/>Age: Over 1 year<p/>Location Lost: 337 ERIE AVE, Seattle WA  98122<p/>Lost Date: 2024-10-11<p/>",
K24-172745,A717839,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856680,In Public Home,,Cat,Unknown<p/>,Female,Ragdoll,Unknown,9-Oct-24,Date Found,SE  KENT KANGLEY ROAD & SE KENT KANGLEY RD,Kent,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856680,Image Copyright HLP Inc. 2024,"Description: Black and cream colored ragdoll female with striking blue eyes and distinctive white toes <p/>Age: Unknown<p/>Found Near: 116th and Kent-Kangley, Kent WA  98030<p/>Found Date: 2024-10-09<p/>",
K24-173290,A718789,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2863614,In Public Home,,Dog,Under 1 year<p/>,Unknown,Havanese,Brown,22-Oct-24,Date Found,"COVINGTON, COVINGTON",TALL TI,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2863614,Image Copyright HLP Inc. 2024,"Description: Small, flat face, tan, brown, and black<p/>Age: Under 1 year<p/>Found Near: Covington, Tall timbers , Kent WA  98042<p/>Found Date: 2024-10-22<p/>",
K24-173660,A719469,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719469,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,8 MONTHS,Female,Domestic Shorthair,Seal Pt / White,4-Nov-24,Received on,2100 block of  NW POPLAR WAY,ISSAQUAH,WA,98027,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719469,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Found Near: 2100 block of  NW POPLAR WAY<p/> Description: Seal Pt / White Female Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-172347,A717170,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852072,In Public Home,,Dog,Over 1 year<p/>,Male,Boston Terrier,Unknown,27-Sep-24,Date Found,100 block of  N St NE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852072,Image Copyright HLP Inc. 2024,"Description: Contact me if you are or know that owner. <p/>Age: Over 1 year<p/>Found Near: 156th Ave NE & NE 51 ST, Redmond WA  98052<p/>Found Date: 2024-09-27<p/>",
K24-173403,A718955,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864835,LOST,Percy,Cat,Over 1 year<p/>,Male,British Shorthair,Unknown,26-Oct-24,Date Lost,4700 block of  22ND AVE NE,Seattle,,98105,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864835,Image Copyright HLP Inc. 2024,"Description: Hi! We live in the uw neighborhood and our cat Percy is missing, he isn't microchipped and doesn't have a collar so we're really worried about him! He was last seen Saturday night (oct 26th) and is very food motivated so if you need to lure him out he'll respond to can tapping! If you see any cat who looks like this please let me know! tysm<p/>Age: Over 1 year<p/>Location Lost: 4732 22nd Ave NE, Seattle WA  98195<p/>Lost Date: 2024-10-26<p/>",
K24-173631,A719414,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867543,LOST,Jimmy,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,2-Nov-24,Date Lost,16400 block of  13TH AVE SW,Burien,,98166,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867543,Image Copyright HLP Inc. 2024,"Description: Grey with white spot on chest, yellow collar with fish on it and a bell<p/>Age: Over 1 year<p/>Location Lost: 16430 13th Avenue Southwest, Seattle WA  98166<p/>Lost Date: 2024-11-02<p/>",
K24-172341,A717158,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2851909,LOST,Sully,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,24-Sep-24,Date Lost,Nob  Hill Ave N & Garfield St,Seattle,,98109,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2851909,Image Copyright HLP Inc. 2024,"Description: 2 year old fixed male . Mostly brindle all white belly also he has a very loud meow. Great temper loves being pet and held <p/>Age: Over 1 year<p/>Location Lost: Nob hill and garfield, Seattle WA  98109<p/>Lost Date: 2024-09-24<p/>",
K24-172779,A717875,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857121,In Public Home,,Dog,Over 1 year<p/>,Male,Boston Terrier,Unknown,10-Oct-24,Date Found,156th  Ave NE & NE 51st St,Redmond,,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857121,Image Copyright HLP Inc. 2024,"<p/>Age: Over 1 year<p/>Found Near: 156th ave ne and Ne 51st, Redmond WA  98052<p/>Found Date: 2024-10-10<p/>",
K24-172824,A717958,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857735,LOST,Edwick,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Brown,10-Oct-24,Date Lost,127TH  PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857735,Image Copyright HLP Inc. 2024,"Description: Brown, Black, and White color. Very friendly.<p/>Age: Over 1 year<p/>Location Lost: 127th Pl se, Kent WA  98031<p/>Lost Date: 2024-10-10<p/>",
K24-172256,A716974,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2850829,In Public Home,,Dog,Under 1 year<p/>,Male,Pit Bull,Unknown,24-Sep-24,Date Found,30th  Ave S & S McClellan St,Seattle,,98144,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2850829,Image Copyright HLP Inc. 2024,"<p/>Age: Under 1 year<p/>Found Near: 30th and S McClellan, Seattle WA  98122<p/>Found Date: 2024-09-24<p/>",
K24-173673,A719495,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719495,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Male,Domestic Shorthair,Black / White,4-Nov-24,Received on,17600 block of  SE MAY VALLEY RD,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719495,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Found Near: 17600 block of  SE MAY VALLEY RD<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173230,A718641,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A718641,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lydia,Dog,NO AGE,Spayed Female,Pit Bull,Br Brindle / White,22-Oct-24,Received on,11900 block of  SE 206TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718641,Image Copyright HLP Inc. 2024,"Received on: 2024-10-22<p/> Found Near: 11900 block of  SE 206TH ST<p/> Description: Br Brindle / White Spayed Female Pit Bull Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173526,A719266,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719266,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Summer,Dog,NO AGE,Neutered Male,Alaskan Husky,Red / White,31-Oct-24,Received on,20600 block of  TINKHAM RD,NORTH BEND,WA,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719266,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 20600 block of  TINKHAM RD<p/> Description: Red / White Neutered Male Alaskan Husky Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173630,A719413,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867542,LOST,Baby Girl,Dog,Over 1 year<p/>,Female,Belgian Malinois,Unknown,7-Oct-24,Date Lost,132ND  AVENUE SE & SE 240TH ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867542,Image Copyright HLP Inc. 2024,"Description: Short Black and brown brindle colored. Back half appears shaved. With a little patch of white on her chest. <p/>Age: Over 1 year<p/>Location Lost: 132nd and 240th st Kent Wa, Kent WA  98030<p/>Lost Date: Oct  7 202<p/>",
K24-172429,A717291,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852928,LOST,Bruce,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Black,28-Sep-24,Date Lost,SE,,,98042,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852928,Image Copyright HLP Inc. 2024,"Description: Black Cat, very friendly and outgoing. Loves people.<p/>Age: Over 1 year<p/>Location Lost: SE 293rd Pl & 176th AVE SE Kent 98042, Kent WA  98042<p/>Lost Date: 2024-09-28<p/>",
K24-172371,A717201,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852288,In Public Home,Lop Rabbit,Rabbit,Unknown<p/>,Unknown,,Unknown,28-Sep-24,Date Found,123rd  Pl SE & SE 179th Pl,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852288,Image Copyright HLP Inc. 2024,"Description: Friendly orange and gray lop rabbit on sidewalk<p/>Age: Unknown<p/>Found Near: 123rd Pl SE and SE 179th Pl, Renton WA  98058<p/>Found Date: 2024-09-28<p/>",
K24-172655,A717695,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2855665,LOST,Tommy,Cat,Under 1 year<p/>,Male,Serval,Unknown,5-Oct-24,Date Lost,300 block of  S St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2855665,Image Copyright HLP Inc. 2024,"Description: Grey with black stripes <p/>Age: Under 1 year<p/>Location Lost: 111th Ave SE , Bellevue WA  98007<p/>Lost Date: 2024-10-05<p/>",
K24-173335,A718866,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Cordelia,Cat,8 WEEKS,Female,Domestic Shorthair,Black,25-Oct-24,Received on,31000 block of  144TH AVE SE,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718866,Image Copyright HLP Inc. 2024,Received on: 2024-10-25<p/> Found Near: 31000 block of  144TH AVE SE<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K24-173287,A718769,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718769,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Quartz,Dog,6 YEARS,Neutered Male,Pit Bull,Tan / White,24-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718769,Image Copyright HLP Inc. 2024,"Received on: 2024-10-24<p/> Description: Tan / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 6 YEARS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Quartz and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on October 24th.<p/><p/>I weigh [number on scale] lbs and am considered a  ""medium breed"" dog.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>",
K24-172881,A718040,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858590,LOST,Rufus,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,3-Oct-24,Date Lost,LAKE  WILDERNESS COUNTRY CLUB DRIVE SE & LAKE WILDERNESS COUNTRY CLUB DRIVE SE,Maple Valley,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858590,Image Copyright HLP Inc. 2024,"Description: White, brown, black, no pattern, about two years old, no chip, no tattoo, no collar, male<p/>Age: Over 1 year<p/>Location Lost: Witte Rd and Lake Wilderness Country Club Dr, Maple Valley WA  98038<p/>Lost Date: 2024-10-03<p/>",
K24-173270,A716371,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A716371,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marilyn,Rabbit Sh,2 YEARS,Spayed Female,Rabbit Sh,White / Black,23-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A716371,Image Copyright HLP Inc. 2024,"Received on: 2024-10-23<p/> Description: White / Black<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Marilyn and I am bonded to my sister Bunroe - we must be adopted together.<p/><p/>We are looking for someone who can provide us with plenty of love and attention.<p/><p/>When it comes to feeding us, we will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water!<p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. We are not meant to live in a cage, so be sure you can provide us at least a 4ft x 4ft enclosure as our home base. Even better if we get time to roam outside of our enclosure to stretch our legs, explore and exercise. Just be sure to bunny proof the space!<p/><p/>I am a gentle soul who likes to take things slow, and hope for the perfect ever after for my sister and I.<p/>",
K24-172810,A717947,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857640,LOST,Rex,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,11-Oct-24,Date Lost,136th  Pl SE & SE 233rd St,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857640,Image Copyright HLP Inc. 2024,"Description: Tan and black striped with large white spots. Unaltered. <p/>Age: Over 1 year<p/>Location Lost: 136th and 233rd St, Kent WA  98042<p/>Lost Date: 2024-10-11<p/>",
K24-173439,A719024,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719024,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ghost,Dog,3 YEARS 1 MONTH,Neutered Male,Pit Bull / Mix,White / Black,28-Oct-24,Received on,7200 block of  S 135TH ST,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719024,Image Copyright HLP Inc. 2024,"Received on: 2024-10-28<p/> Found Near: 7200 block of  S 135TH ST<p/> Description: White / Black Neutered Male Pit Bull / Mix Dog<p/> Age: 3 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173316,A718819,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2863701,LOST,Princess,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,23-Oct-24,Date Lost,MEEKER  STREET & 64TH AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2863701,Image Copyright HLP Inc. 2024,"Description: White and orange chunky female cat. Is fixed. And has sparkling pink collar. She is chipped. <p/>Age: Over 1 year<p/>Location Lost: Meeker street & 64th ave s, Kent WA  98030<p/>Lost Date: 2024-10-23<p/>",
K24-173461,A719069,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719069,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Keanu,Cat,10 WEEKS,Male,Domestic Shorthair,Black / White,29-Oct-24,Received on,15600 block of  SE LAKE MONEYSMITH RD,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719069,Image Copyright HLP Inc. 2024,"Received on: 2024-10-29<p/> Found Near: 15600 block of  SE LAKE MONEYSMITH RD<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173463,A716915,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A716915,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Citra,Dog,1 YEAR 1 MONTH,Spayed Female,Pit Bull,Gray / White,29-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A716915,Image Copyright HLP Inc. 2024,"Received on: 2024-10-29<p/> Description: Gray / White<p/>  Spayed Female Pit Bull Dog<p/> Age: 1 YEAR 1 MONTH<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello! My name is Citra. I came to RASKC as a stray and now I'm looking for a new home! I was adopted and returned on October 26, 2024 due to my adopter working out of town a lot and I displayed some separation anxiety.<p/><p/>I'm a shy lady here in the shelter and prefer people who go slowly with me. Once I'm sure of you, I turn into a playful, wiggly, silly pup. I haven't met any other dogs while at RASKC so it's unknown how I do with them. It's always a good idea for resident dogs to meet me in the shelter first so the staff can help us get off on the right paw! <p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K24-172833,A717970,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857902,LOST,"Huckleberry,",Dog,Under 1 year<p/>,Male,American Pit Bull Terrier,Black,12-Oct-24,Date Lost,2nd  Ave & Blanchard St,Seattle,,98121,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857902,Image Copyright HLP Inc. 2024,"Description: American pit mix with American bully. About 55 lbs, mostly black and brown with white markings. White stripe on forehead and Dalmatian spots on tummy.<p/>Age: Under 1 year<p/>Location Lost: 2nd Ave and Blanchard, Seattle WA  98144<p/>Lost Date: 2024-10-12<p/>",
K24-173048,A718325,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2861449,LOST,Bella,Dog,Over 1 year<p/>,Female,Pit Bull,Brown,19-Oct-24,Date Lost,300 block of  SUMMIT AVE N,Kent,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2861449,Image Copyright HLP Inc. 2024,"Description: Long tail docked ears rainbow collar brown tan and white<p/>Age: Over 1 year<p/>Location Lost: 302 Summit Ave North #3, Kent WA  98030<p/>Lost Date: 2024-10-19<p/>",
K24-173517,A719246,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866419,In Public Home,Boston,Dog,Over 1 year<p/>,Male,Australian Shepherd,Unknown,30-Oct-24,Date Found,154TH 154TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866419,Image Copyright HLP Inc. 2024,"Description: This dog is one of my pups, i microchiped him before he went to his new home. He was Found and the microchiped was not transferred. I contacted his owners, just to find out they had broken our contract and flipped him. He is safe in my custody now, but I would like to make sure someone isnt missing him. Proof will be required.<p/>Age: Over 1 year<p/>Found Near: 154th, Redmond WA  98052<p/>Found Date: 2024-10-30<p/>",
K24-172940,A718177,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2859284,In Public Home,,Cat,Unknown<p/>,Female,American Shorthair,Unknown,14-Oct-24,Date Found,4800 block of  DAVIS PL S,Renton,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2859284,Image Copyright HLP Inc. 2024,Description: Cat/kitten with a pink collar with a bell. White paws and tummy and polka dot/striped grey body <p/>Age: Unknown<p/>Found Near: 4800 block of  DAVIS PL S<p/>Found Date: 2024-10-14<p/>,
K24-173426,A719011,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719011,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Archer,Cat,10 WEEKS,Male,Domestic Shorthair,Black / White,28-Oct-24,Received on,1700 block of  CENTRAL AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719011,Image Copyright HLP Inc. 2024,"Received on: 2024-10-28<p/> Found Near: 1700 block of  CENTRAL AVE S<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
