impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Memo_cleaned
K24-173577,A719335,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719335,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Wooly,Cat,0.17307692307692307,Neutered Male,Domestic Shorthair,Black,1-Nov-24,Received on,27111 167TH PL SE,COVINGTON,WA,98042.0,COVINGTON,47.358606,-122.118905,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719335,Image Copyright HLP Inc. 2024,"Received on: 2024-11-01<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>Hi! My name is Padfoot and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on November 1, 2024. I was surrendered by my previous owner because they had too many cats.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home once I get to know you.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am currently at an offsite location looking for my forever family! <p/><p/>Adoptions at partner stores are coordinated on a ""first-come, first-served"" basis. It is recommended that you call the offsite location before going to the store in case the animal is in the process of being adopted or already adopted. Delays on the profile being removed from the website after adoption is to be expected. <p/><p/>",black neutered male domestic shorthair cat covington petco covington padfoot available adoptioni animal control officer november surrendered previous owner catsi affectionate lovebug thrilled cuddle home youbecause shy nature best calm quiet home home important patient allow acclimate environment speed best smaller quiet room food bed litterbox comfortable confident exploring rest homei gentle loving cat things slow nervous situations looking family understands warm devoted friendi offsite location looking forever family adoptions partner stores coordinated firstcome firstserved basis recommended call offsite location going store case animal process adopted already adopted delays profile removed website adoption expected
K24-172966,A718209,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2859436,In Public Home,,Cat,1.5,Female,American Shorthair,Unknown,16-Oct-24,Date Found,NE  83rd St & 5th Ave NE,Seattle,,98115.0,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2859436,Image Copyright HLP Inc. 2024,"Description: All orange, young, female. Friendly.  Breed unknown .<p/>Age: Over 1 year<p/>Found Near: NE 83rd st and 5 ave NE, Seattle WA  98115<p/>Found Date: 2024-10-16<p/>",orange young female friendly breed seattle
K24-172663,A717714,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2855866,LOST,Paco,Cat,1.5,Male,Domestic Shorthair,Unknown,5-Oct-24,Date Lost,2200 block of  132ND AVE SE,Bellevue,,98005.0,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2855866,Image Copyright HLP Inc. 2024,"Description: Striped, neutered male. White tummy with black spots and stripes.<p/>Age: Over 1 year<p/>Location Lost: 2210 132nd Ave SE, Bellevue WA  98005<p/>Lost Date: 2024-10-05<p/>",striped neutered male white tummy black spots stripes bellevue
K24-173709,A719567,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719567,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2.0,Female,Norfolk Terrier / Mix,Tan,5-Nov-24,Received on,14300 block of  SE HUSKY WAY,AUBURN,WA,98092.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719567,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Found Near: 14300 block of  SE HUSKY WAY<p/> Description: Tan Female Norfolk Terrier / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",husky way tan female norfolk terrier mix dog pet adoption center kent
K24-172865,A715556,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A715556,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bowzer,Dog,2.1666666666666665,Neutered Male,German Shepherd / Mix,Black / Tan,14-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A715556,Image Copyright HLP Inc. 2024,"Received on: 2024-10-14<p/> Description: Black / Tan<p/>  Neutered Male German Shepherd / Mix Dog<p/> Age: 2 YEARS 2 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello! My name is Bowzer! I came to RASKC as a stray and now I'm looking for a new home! <p/><p/>I'm a big, silly pup who is looking for his next adventure! I have a great, outgoing personality that makes everyone want to meet me. I can be a bit jumpy when I first meet a new person, but I settle down nicely if the people around me stay relaxed. Once I've settled into a good position for head pats and belly rubs, I won't leave your side. <p/><p/>Since being at RASKC, the awesome volunteers have been hard at work teaching me some leash skills. I can be a bit bouncy to begin with because I'm happy to go outside but I walk nicely once we get going. My new family should be ready to teach me all about being a good boy. I've also been going to playgroup and making new friends during my stay in the shelter! I do best with dogs who are the same size, or bigger. I can be an exuberant player so a friend who likes to wrestle would be ideal. <p/><p/>I weigh 74lbs and am considered a large breed dog. <p/><p/>I would do best in a home without small children. <p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",black tan neutered male german shepherd mix dog pet adoption center kent bowzer came raskc stray looking home big silly pup looking next adventure great outgoing personality makes everyone want meet bit jumpy first meet person settle nicely people relaxed ive settled good position head pats belly rubs wont leave side raskc awesome volunteers hard work teaching leash skills bit bouncy begin happy outside walk nicely going family ready teach good boy ive going playgroup making friends shelter best dogs size bigger exuberant player friend wrestle ideal weigh considered large breed dog best home without small children spirited dog funloving personality working manners best family willing work help become best dog
K24-172947,A718184,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A718184,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Boyd,Cat,0.21153846153846154,Neutered Male,Domestic Shorthair,Black,16-Oct-24,Received on,20400 block of  PACIFIC HWY S,SEATAC,WA,98188.0,SEATAC,47.418777,-122.296542,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718184,Image Copyright HLP Inc. 2024,"Received on: 2024-10-16<p/> Found Near: 20400 block of  PACIFIC HWY S<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 11 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",pacific hwy black neutered male domestic shorthair cat pet adoption center kent
K24-173589,A719258,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Callie,Deceased Cat,,Female,Domestic Shorthair,Calico,1-Nov-24,Received on,19700 block of  35TH AVE NE,LAKE FOREST PARK,WA,98155.0,LAKE FOREST PAR,,,,Image Copyright HLP Inc. 2024,Received on: 2024-11-01<p/> Found Near: 19700 block of  35TH AVE NE<p/> Description: Calico Female Domestic Shorthair Cat<p/> Age: NO AGE<p/>,calico female domestic shorthair cat
K24-173554,A719298,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Klein,Cat,0.1346153846153846,Male,Domestic Longhair,Gray,31-Oct-24,Received on,600 block of  VAN DE VANTER AVE,KENT,WA,98030.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719298,Image Copyright HLP Inc. 2024,Received on: 2024-10-31<p/> Found Near: 600 block of  VAN DE VANTER AVE<p/> Description: Gray Male Domestic Longhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,van de vanter gray male domestic longhair cat raskc foster home
K24-173583,A719343,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,0.17307692307692307,Male,Domestic Mediumhair,Gray Tabby,1-Nov-24,Received on,23600 block of  138TH AVE SE,KENT,WA,98042.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719343,Image Copyright HLP Inc. 2024,Received on: 2024-11-01<p/> Found Near: 23600 block of  138TH AVE SE<p/> Description: Gray Tabby Male Domestic Mediumhair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,gray tabby male domestic mediumhair cat raskc foster home
K24-172750,A704556,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Spatlo,Cat,0.75,Neutered Male,Domestic Shorthair,Black / White,10-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032.0,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A704556,Image Copyright HLP Inc. 2024,"Received on: 2024-10-10<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 9 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hello there, My name is Spatlo and I'm currently in a Foster home.<p/><p/>If you're looking for a little bit of information about me, this is what my foster parents have to say:<p/><p/>WEB MEMO:<p/><p/>Hi, my name is Spatlo!<p/>I was living at a foster home with my sister Torta since we were both scared of humans, but we eventually learned how nice humans can be! <p/>Both me and my sibling are high energy kitties who love chasing each other and playing with toys (especially wands!). We are also highly food motivated and have been caught multiple times biting through food bags! At our foster home we did a good job of coexisting with the senior cats, outside of stealing their food at times!<p/><p/>Of the two of us, I`m shyer and more sensitive. I may back away if directly petted, but you can often find me snuggling with your leg when you aren`t looking! And oftentimes when faced with a new situation, I wait for my sister to show it`s okay before I join in too. I can be very affectionate when it`s on my own terms, and I like to meow when I want attention. I also have an inquisitive curiosity as I love to find tiny bugs to watch! When our foster dad was using his standing desk, we would often grab onto his leg as we wanted him to sit down with us! I`m also known to give love-bites and play a bit rough with hands, but I mean well and will stop if you give me a lil `owie!`<p/>.<p/>We would probably like a quieter home as we still are shy around most people and new situations. I would like to be adopted with my sister Torta so we can continue to play and snuggle together!<p/><p/>Hi, my name is Spatlo!<p/>I was living at a foster home with my sister Torta since we were both scared of humans, but we eventually learned how nice humans can be! <p/>Both me and my sibling are high energy kitties who love chasing each other and playing with toys (especially wands!). We are also highly food motivated and have been caught multiple times biting through food bags! At our foster home we did a good job of coexisting with the senior cats, outside of stealing their food at times!<p/>",black white neutered male domestic shorthair cat raskc foster home spatlo foster homeif youre looking little bit information foster parents sayweb memohi spatloi living foster home sister torta scared humans learned nice humans sibling high energy kitties love chasing playing toys wands highly food motivated caught multiple times biting food bags foster home good job coexisting senior cats outside stealing food timesof two shyer sensitive back away directly petted snuggling leg arent looking oftentimes faced situation wait sister okay affectionate terms meow want attention inquisitive curiosity love tiny bugs watch foster dad using standing desk grab onto leg wanted sit known lovebites play bit rough hands mean well stop lil owiewe probably quieter home shy people situations adopted sister torta continue play snuggle togetherhi spatloi living foster home sister torta scared humans learned nice humans sibling high energy kitties love chasing playing toys wands highly food motivated caught multiple times biting food bags foster home good job coexisting senior cats outside stealing food times
K24-172730,A717815,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856487,In Public Home,"""unknown""",Dog,1.5,Female,American Pit Bull Terrier,Unknown,8-Oct-24,Date Found,16900 block of  230TH AVE SE,,,98038.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856487,Image Copyright HLP Inc. 2024,"Description: This is a black and white female, looks like an american pitbull terrier.  She has no collar and was Found at Cedar Grove & 230th Ave SE in Maple Valley.<p/>Age: Over 1 year<p/>Found Near: 16900 block of  230TH AVE SE<p/>Found Date: 2024-10-08<p/>",black white female looks american pitbull terrier collar found cedar grove maple valley
K24-173168,A718524,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862540,In Public Home,,Dog,0.5,Unknown,Havanese,Brown,22-Oct-24,Date Found,"COVINGTON, COVINGTON",TALL TI,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862540,Image Copyright HLP Inc. 2024,"Description: Small, flat face, tan, brown, and black<p/>Age: Under 1 year<p/>Found Near: Covington, Tall timbers , Kent WA  98042<p/>Found Date: 2024-10-22<p/>",small flat face tan brown black covington tall timbers kent
K24-173423,A719008,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719008,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Flannel,Cat,0.1346153846153846,Male,Domestic Longhair,Gray / White,28-Oct-24,Received on,1700 block of  CENTRAL AVE S,KENT,WA,98032.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719008,Image Copyright HLP Inc. 2024,"Received on: 2024-10-28<p/> Found Near: 1700 block of  CENTRAL AVE S<p/> Description: Gray / White Male Domestic Longhair Cat<p/> Age: 7 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",central gray white male domestic longhair cat pet adoption center kent
K24-173333,A718864,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Oz,Cat,0.15384615384615385,Male,Domestic Shorthair,Org Tabby,25-Oct-24,Received on,31000 block of  144TH AVE SE,KENT,WA,98042.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718864,Image Copyright HLP Inc. 2024,Received on: 2024-10-25<p/> Found Near: 31000 block of  144TH AVE SE<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,org tabby male domestic shorthair cat raskc foster home
K24-173353,A718885,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864251,In Public Home,,Dog,0.5,Male,German Shepherd,Black,25-Oct-24,Date Found,168th  Ave SE & SE 16th St,Bellevue,,98008.0,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864251,Image Copyright HLP Inc. 2024,"Description: Young GSD mix, male, Found 10/25 am. No microchip/ID/Collar. At Seattle Humane.<p/>Age: Under 1 year<p/>Found Near: 168th Ave SE and SE 16th St, Bellevue WA  98008<p/>Found Date: 2024-10-25<p/>",young gsd mix male found microchipidcollar seattle humane bellevue
K24-172731,A717816,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856488,LOST,Momma,Cat,1.5,Female,Domestic Longhair,Black,6-Oct-24,Date Lost,S  249th St & Military Rd S,Kent,,98032.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856488,Image Copyright HLP Inc. 2024,"Description: Black longhaired with a brownish undercoat. Right ear is tipped<p/>Age: Over 1 year<p/>Location Lost: 249th and Military Road, Kent WA  98032<p/>Lost Date: 2024-10-06<p/>",black longhaired brownish undercoat right ear tipped military road kent
K24-172878,A718034,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858517,LOST,Storm Cloud,Cat,0.5,Female,Maine Coon,Unknown,26-Sep-24,Date Lost,200 block of  Pacific Ave S,Algona,,98047.0,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858517,Image Copyright HLP Inc. 2024,"Description: She is unfixed a long haired tabby her whiskers are white she has green eyes a white stomach all four paws have socked long socks on both back legs and short ones on her front paws half her chin is white the other gray her chest is also white she’s  fluffy<p/>Age: Under 1 year<p/>Location Lost: 260th pacific , Kent WA  98032<p/>Lost Date: 2024-09-26<p/>",unfixed long haired tabby whiskers white green eyes white stomach four paws socked long socks back legs short ones front paws half chin white gray chest white fluffy pacific kent
K24-173555,A719299,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Klour,Cat,0.1346153846153846,Male,Domestic Mediumhair,Gray,31-Oct-24,Received on,600 block of  VAN DE VANTER AVE,KENT,WA,98030.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719299,Image Copyright HLP Inc. 2024,Received on: 2024-10-31<p/> Found Near: 600 block of  VAN DE VANTER AVE<p/> Description: Gray Male Domestic Mediumhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,van de vanter gray male domestic mediumhair cat raskc foster home
K24-173388,A718936,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A718936,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cream,Cat,0.19230769230769232,Unknown,Domestic Shorthair,White / Black,27-Oct-24,Received on,3900 block of  S 269TH ST,KENT,WA,98032.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718936,Image Copyright HLP Inc. 2024,"Received on: 2024-10-27<p/> Found Near: 3900 block of  S 269TH ST<p/> Description: White / Black Unknown Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",white black domestic shorthair cat pet adoption center kent
K24-173731,A718307,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718307,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Furchill,Cat,1.5,Neutered Male,Domestic Shorthair,Gray / White,6-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718307,Image Copyright HLP Inc. 2024,"Received on: 2024-11-06<p/> Description: Gray / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is  furchill  and I am available for adoption.<p/><p/>I<p/>I was brought in by a good Samaritan on   11/06/2024<p/><p/><p/>I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/><p/>",gray white neutered male domestic shorthair cat pet adoption center kent furchill available adoptionii good samaritan nervous situations looking family understands warm devoted friendi spirited cat funloving personality sensitive handling best home cat savvy family knows spacei independent kitty thingi getting attention terms overstimulated petting eye signs break
K24-172541,A717526,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854300,LOST,Sailor Or Go,Dog,1.5,Female,Havanese,Unknown,3-Oct-24,Date Lost,MT  OLYMPUS AND MT PHILCHUCK,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854300,Image Copyright HLP Inc. 2024,"<p/>Age: Over 1 year<p/>Location Lost: Mt Olympus and Mt Philchuck, Issaquah WA  98027<p/>Lost Date: 2024-10-03<p/>",olympus philchuck issaquah
K24-173608,A719377,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719377,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dusclops,Dog,1.5,Neutered Male,Alaskan Husky / Mix,Black,2-Nov-24,Received on,8900 block of  172ND AVE NE,REDMOND,WA,98052.0,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719377,Image Copyright HLP Inc. 2024,"Received on: 2024-11-02<p/> Found Near: 8900 block of  172ND AVE NE<p/> Description: Black Neutered Male Alaskan Husky / Mix Dog<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",black neutered male alaskan husky mix dog pet adoption center kent
K24-173552,A719296,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Klown,Cat,0.1346153846153846,Male,Domestic Longhair,Org Tabby,31-Oct-24,Received on,600 block of  VAN DE VANTER AVE,KENT,WA,98030.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719296,Image Copyright HLP Inc. 2024,Received on: 2024-10-31<p/> Found Near: 600 block of  VAN DE VANTER AVE<p/> Description: Org Tabby Male Domestic Longhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,van de vanter org tabby male domestic longhair cat raskc foster home
K24-172427,A717277,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852907,LOST,Isobel Taylo,Cat,1.5,Male,American Shorthair,Black,26-Sep-24,Date Lost,98027 98027,,,98027.0,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852907,Image Copyright HLP Inc. 2024,"Description: Male all black cat with bright yellow eyes. Was 12.4pounds when we took him to the vet Monday, is very tall and lanky. <p/>Age: Over 1 year<p/>Location Lost: Dogwood and Crescent Dr., Issaquah WA  98027<p/>Lost Date: 2024-09-26<p/>",male black cat bright yellow eyes pounds took vet monday tall lanky dogwood crescent dr issaquah
K24-173679,A719503,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719503,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,,Female,Siberian Husky,White / Black,4-Nov-24,Received on,2800 block of  S 252ND ST,KENT,WA,98032.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719503,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Found Near: 2800 block of  S 252ND ST<p/> Description: White / Black Female Siberian Husky Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",white black female siberian husky dog pet adoption center kent
K24-171818,A716093,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A716093,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Jay-Z,Barn Cat,0.3333333333333333,Neutered Male,Domestic Mediumhair,Gray,12-Sep-24,Received on,12100 block of  SE 236TH ST,KENT,WA,98031.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A716093,Image Copyright HLP Inc. 2024,"Received on: 2024-09-12<p/> Found Near: 12100 block of  SE 236TH ST<p/> Description: Gray Neutered Male Domestic Mediumhair Barn Cat<p/> Age: 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",gray neutered male domestic mediumhair barn cat pet adoption center kent
K24-173468,A719083,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2865735,LOST,Lariska,Cat,1.5,Female,European Shorthair,Brown,25-Oct-24,Date Lost,400 block of  210TH AVE NE,Sammamish,,98074.0,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2865735,Image Copyright HLP Inc. 2024,"Description: she has white paws and had no collar<p/>Age: Over 1 year<p/>Location Lost: 472 210th Ave NE, Sammamish WA  98074<p/>Lost Date: 2024-10-25<p/>",white paws collar sammamish
K24-173214,A718629,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718629,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Felicity,Rabbit Sh,2.0,Spayed Female,Rabbit Sh,Black,22-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718629,Image Copyright HLP Inc. 2024,"Received on: 2024-10-22<p/> Description: Black<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Felicity and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by animal control on 10/22. <p/><p/>I could potentially be bonded to a new rabbit friend with proper introductions. If you are considering adding a second bunny to your family, familiarize yourself with the rabbit bonding process and don't hesitate to reach out if you would like us to host a speed date to find the best match.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/>",black spayed female rabbit rabbit pet adoption center kent felicity rabbit looking forever home animal control potentially bonded rabbit friend proper introductions considering adding second bunny family familiarize rabbit bonding process hesitate reach host speed best match looking someone love attention comes feeding proper balance pellets timothy hay fresh vegetables access fresh water housing appropriate room roam separate spaces hidey house litter box play area food water cage outside enclosure least day stretch legs explore exercise bunny proof space cleaning cage grooming important gentle soul things slow
K24-171818,A716093,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A716093,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Jay-Z,Barn Cat,0.3333333333333333,Neutered Male,Domestic Mediumhair,Gray,12-Sep-24,Received on,,,,,,,,https://kingcounty.gov/~/media/depts/regional-animal-services/images/All-Images/adoption-pending.jpg,Image Copyright HLP Inc. 2024,"Received on: 2024-09-12<p/> Description: Gray<p/>  Neutered Male Domestic Mediumhair Barn Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $0<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jay-Z and I am a ""Working Cat"". I am seeking a home where I can put my hunting skills to work! <p/><p/>I was brought into the shelter on 9/12/24 by a good samaritan.<p/><p/>I am a cat that has had some interactions with humans and I'm likely interested in being pet and handled, but only on my terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break. Being an indoor only cat is not enough stimulation for me and I would like to hunt rodents in order to stay enriched and active.<p/><p/>If you have never had working cats before, please reach out to barncatsrus@gmail.com to get all of the resources you will need to set up before you bring me home.<p/>",gray neutered male domestic mediumhair barn cat pet adoption center kent jayz working cat seeking home put hunting skills work shelter good samaritani cat interactions humans interested pet handled terms overstimulated petting eye signs break indoor cat stimulation hunt rodents order enriched activeif working cats reach barncatsrusgmailcom resources home
